purchase_id,customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method
P00001,C0147,Books,Shoes,1.0,451.68,2024-08-12,IL,Overnight
P00002,C0061,Home & Garden,Hat,1.0,352.84,2024-03-29,WA,Standard
P00003,C0394,Home & Garden,T-Shirt,4.0,120.66,2024-07-11,FL,Standard
P00004,C0343,Sports,Yoga Mat,2.0,374.8,2024-09-08,CA,Standard
P00005,C0022,Books,Rug,5.0,311.48,2024-06-28,NY,Express
P00006,C0121,Electronics,Basketball,3.0,31.62,2024-08-28,CA,Overnight
P00007,C0054,Sports,Plant Pot,4.0,312.8,2024-01-12,IL,Express
P00008,C0027,Home & Garden,Monitor,2.0,309.13,2024-04-11,IL,Standard
P00009,C0430,Books,Garden Tools,3.0,308.69,2024-09-23,TX,Express
P00010,C0097,Home & Garden,Jacket,1.0,210.79,2024-04-16,FL,Overnight
P00011,C0450,Clothing,Cookbook,,288.82,2024-01-01,CA,Standard
P00012,C0444,Sports,Cushion,5.0,54.5,2024-09-27,CA,Overnight
P00013,C0081,Home & Garden,Monitor,2.0,329.22,2024-02-26,WA,Overnight
P00014,C0411,Clothing,Yoga Mat,4.0,147.86,2024-10-16,IL,Overnight
P00015,C0275,Sports,Textbook,5.0,19.01,2024-06-13,WA,Overnight
P00016,C0047,Clothing,Textbook,4.0,31.66,2024-11-18,WA,Standard
P00017,C0337,Home & Garden,Garden Tools,3.0,234.02,2024-11-04,NY,Express
P00018,C0370,Sports,Magazine,1.0,283.42,2024-05-10,IL,Express
P00019,C0024,Clothing,Hat,4.0,495.16,2024-12-17,TX,Overnight
P00020,C0132,Home & Garden,Basketball,3.0,328.9,2024-07-28,CA,Standard
P00021,C0332,Home & Garden,Shoes,3.0,398.21,2024-11-20,WA,Express
P00022,C0443,Sports,Dumbbells,4.0,387.19,2024-09-19,TX,Standard
P00023,C0298,Electronics,Dumbbells,2.0,343.82,2024-06-27,IL,Standard
P00024,C0128,Books,Hat,4.0,274.49,2024-04-21,WA,Overnight
P00025,C0346,Clothing,Jeans,3.0,168.09,2024-02-03,NY,Express
P00026,C0460,Sports,Textbook,4.0,218.42,2024-07-16,WA,Standard
P00027,C0056,Clothing,Hat,4.0,15.8,2024-06-29,CA,Express
P00028,C0215,Clothing,Headphones,1.0,133.57,2024-04-10,CA,Overnight
